symbol,name,exchange,assetType,ipoDate,delistingDate,status
FTA,First Trust Large Capital Value AlphaDEX Fund,NASDAQ,ETF,2007-05-24,null,Active
FTAA,FTAC Athena Acquisition Corp - Class A,NASDAQ,Stock,2021-04-28,null,Active
FTAAU,FTAC Athena Acquisition Corp - Units (1 Ord Class A & 1/4 War),NASDAQ,Stock,2021-02-23,null,Active
FTAAW,FTAC Athena Acquisition Corp - Warrants (01/03/2026),NASDAQ,Stock,2021-04-23,null,Active
FTAG,FIRST TRUST INDXX GLOBAL AGRICULTURE ETF ,NASDAQ,ETF,2010-03-12,null,Active
FTAI,FTAI Aviation Ltd - Class A,NASDAQ,Stock,2015-05-15,null,Active
FTAIN,FTAI Aviation Ltd,NASDAQ,Stock,2021-03-18,null,Active
FTAIO,FTAI Aviation Ltd,NASDAQ,Stock,2019-11-25,null,Active
FTAIP,FTAI Aviation Ltd,NASDAQ,Stock,2019-09-06,null,Active
FTBD,Fidelity Tactical Bond ETF,NYSE ARCA,ETF,2023-01-26,null,Active
FTC,First Trust Large Capital Growth AlphaDEX Fund,NASDAQ,ETF,2007-05-11,null,Active
FTCH,Farfetch Ltd - Class A,NYSE,Stock,2018-09-21,null,Active
FTCI,FTC Solar Inc,NASDAQ,Stock,2021-04-28,null,Active
FTCS,First Trust Capital Strength ETF,NASDAQ,ETF,2006-07-11,null,Active
FTDR,Frontdoor Inc,NASDAQ,Stock,2018-10-01,null,Active
FTDS,First Trust Dividend Strength ETF,NASDAQ,ETF,2004-04-28,null,Active
FTEC,Fidelity MSCI Information Technology Index ETF,NYSE ARCA,ETF,2013-10-24,null,Active
FTEK,Fuel Tech Inc,NASDAQ,Stock,1993-09-07,null,Active